CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
BE;Belgium;CRL;1/1/20;25/1/20;25;15;81;59;1675,9905;1358,0319;288,4233;585,0656;0,92;33,0589;Rentway;Interrent
BE;Belgium;CRL;1/1/20;26/1/20;18;12;82;50;1453,24;1182,4916;0;157,8578;0;16,53;Rentway;Interrent
BE;Belgium;CRL;1/1/20;27/1/20;19;23;69;81;1327,47;1980,4537;0;793,8972;0;16,53;Rentway;Interrent
BE;Belgium;CRL;1/1/20;28/1/20;16;19;72;62;1233,31;1794,09;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;29/1/20;14;19;42;60;906,79;1517,79;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;30/1/20;11;14;36;60;719,76;1093,2;0;0;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;31/1/20;34;16;101;50;2280,1;776,66;0;0;0;0;Rentway;Interrent
BE;Belgium;BRU;1/2/20;1/2/20;16;4;89;30;1526,37;419,48;0;0;0;0;Rentway;Interrent
ES;Andalusia;AGP;1/1/20;1/1/20;241;218;2159;2146;12808,8929;11792,6748;20180,1127;19817,4161;4547,2352;6090,7998;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;1/1/20;12;18;58;114;796,9559;764,3555;652,6943;905,2729;223,8472;189,0358;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;2/1/20;30;56;226;446;1360,6288;1724,452;2560,2154;4091,8044;609,0665;687,4637;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;2/1/20;8;10;68;61;575,8847;375,5553;673,5186;568,8269;66,8765;183,5701;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;4/1/20;243;175;3302;1994;9759,8965;5875,8769;18038,1073;13941,7145;3228,3234;4257,6472;Sigger;Goldcar/Pulsar
ES;Andalusia;AGP;1/1/20;4/1/20;35;52;357;447;1173,6024;859,1169;2192,5293;3131,8379;740,7009;576,6282;Sigger;InterRent
ES;Andalusia;AGP;1/1/20;4/1/20;4;10;18;117;134,9137;719,62;376,4049;350,4959;40,9055;204,6618;Sigger;Rhodium
ES;Andalusia;AGP;1/1/20;5/1/20;20;43;224;390;525,4349;875,3881;1617,6573;3402,1886;282,8971;397,599;Sigger;InterRent
